Sat.EarthMJ2000Eq.X,Sat.EarthMJ2000Eq.Y,Sat.EarthMJ2000Eq.Z,Sat.ElapsedSecs
-363196.1204472352,193530.9618227617,54355.49868893166,588606.795506354
-364330.1790460102,191793.8150481002,53611.25399839706,589906.8542733905
-365377.6817545145,190009.1181318893,52842.79727628022,591206.9926728029
-366333.8352265421,188184.5560774436,52054.23075249308,592507.3141955305
-367194.7830638927,186328.1638885545,51249.84148029084,593807.9528311151
-367957.606569057,184448.3114725121,50434.08640921149,595109.0233169147
-368620.3624956461,182553.6140380536,49611.54517077161,596410.6241043541
-369182.1112323066,180652.8316592793,48786.86787314127,597712.8451845841
-369642.923684446,178754.7994005208,47964.73600632097,599015.7534502214
-370003.8953285121,176868.2883507489,47149.7933786602,600319.424897572
-370267.1212979458,175001.9869468688,46346.62918933141,601623.894179624
-370435.6913716424,173164.356659266,45559.70681281077,602929.1909645428
-370513.6566510891,171363.594906953,44793.3389421778,604235.3022875148
-370505.9978470296,169607.4835383376,44051.61397770313,605542.2176775523
-370418.5726202465,167903.339186237,43338.36654999779,606849.9050157261
-370258.0633962275,166257.9703480163,42657.15064070468,608158.2801236305
-370031.9038492742,164677.5061961953,42011.16000928116,609467.2809671145
-369748.2024987084,163167.3834015273,41403.21575016691,610776.8270547618
-369415.665302941,161732.3078338178,40835.74314441236,612086.7971936823
-369043.4919608202,160376.1397057877,40310.7190497019,613397.0824715216
-368641.2780204278,159101.8695901516,39829.65761352597,614707.5718533131
-368218.90810206,157911.579377377,39393.5912040159,616018.1594404159
-367786.4587150202,156806.4479330876,39003.06908661276,617328.7116955966
-367354.0653233489,155786.6780002209,38658.12947518159,618639.1362039722
-366931.8224721174,154851.5307347437,38358.31317934278,619949.3464228115
-366529.6789218956,153999.3454912638,38102.67205820876,621259.2443995178
-366257.859411161,153435.3709849185,37945.08157461903,622202.7488486376
-366169.0494951159,153251.7928069827,37896.1439968893,622525.4823114141
-366122.2025495572,153154.8976760761,37870.82820933448,622699.2308726767
-366080.1619038822,153067.849341411,37848.4015430962,622857.4191246182
-365949.8344168893,152796.9097922357,37780.62531543649,623363.219177979
